model,case,regime,start,end,stage,variable,is_true_predictor,B,abs_B,Beta,abs_Beta,p_value,selected_stepwise,false_stepwise,problem_window,mean_abs_corr,rank_B,rank_Beta
base,base_a_2_2,затухающие колебания,1,26,early,Lag_5,0,-1.2732925824820995e-11,1.2732925824820995e-11,2.2737367544323206e-12,2.2737367544323206e-12,0.9999999810521412,0,0,0,0.48171810465653375,7.0,6.0
base,base_a_2_2,затухающие колебания,1,26,early,Lag_6,0,1.4551915228366852e-11,1.4551915228366852e-11,-2.0463630789890885e-12,2.0463630789890885e-12,0.9999999772504877,0,0,0,0.48171810465653375,6.0,7.0
base,base_a_2_2,затухающие колебания,1,26,early,Lag_7,0,-1.5063505998114124e-12,1.5063505998114124e-12,3.979039320256561e-13,3.979039320256561e-13,0.9999999780389698,0,0,0,0.48171810465653375,8.0,8.0
base,base_a_2_2,затухающие колебания,1,26,early,Lag_8,0,7.105427357601002e-13,7.105427357601002e-13,-1.7053025658242404e-13,1.7053025658242404e-13,0.9999999772059844,0,0,0,0.48171810465653375,9.0,9.0
base,base_a_2_2,затухающие колебания,1,26,early,Lag_9,0,-8.171241461241152e-14,8.171241461241152e-14,3.552713678800501e-15,3.552713678800501e-15,0.9999999792939408,0,0,0,0.48171810465653375,10.0,11.0
base,base_a_2_2,затухающие колебания,1,26,early,Lag_10,0,1.7763568394002505e-14,1.7763568394002505e-14,-6.716849298982197e-15,6.716849298982197e-15,0.9999999814569424,0,0,0,0.48171810465653375,11.0,10.0
base,base_a_2_2,затухающие колебания,2,27,early,X_n,1,-2.2000007033348083,2.2000007033348083,-1.0000000447034836,1.0000000447034836,0.9962477123758837,1,0,0,0.5267451964857998,1.0,1.0
base,base_a_2_2,затухающие колебания,2,27,early,Lag_1,0,-5.662441253662109e-07,5.662441253662109e-07,-2.384185791015625e-07,2.384185791015625e-07,0.9999999991706613,0,0,0,0.5267451964857998,2.0,2.0
base,base_a_2_2,затухающие колебания,2,27,early,Lag_2,0,-7.8580342233181e-10,7.8580342233181e-10,1.0040821507573128e-09,1.0040821507573128e-09,0.9999999997392355,0,0,0,0.5267451964857998,5.0,5.0
base,base_a_2_2,затухающие колебания,2,27,early,Lag_3,0,1.0803341865539551e-07,1.0803341865539551e-07,2.2351741790771484e-08,2.2351741790771484e-08,0.9999999990397535,0,0,0,0.5267451964857998,3.0,3.0
