model,case,regime,start,end,stage,mean_abs_corr,max_abs_corr,false_stepwise,problem_window,selected_count,R2_enter,top_b,top_beta,correct_top_b,correct_top_beta,topk_b,topk_beta,pairwise_b,pairwise_beta,margin_b,margin_beta,delta_pairwise
base,base_a_2_2,затухающие колебания,18,43,early,0.999999999992207,1.0000000000000002,0,1,1.0,0.9999999934059797,Lag_1,X_n,0.0,1.0,0.0,1.0,0.7,1.0,-0.1292157769203186,0.0007264167070388794,-0.30000000000000004
base,base_a_2_2,затухающие колебания,19,44,early,0.9999999999995848,1.0000000000000002,0,1,1.0,0.9999999995659029,Lag_1,X_n,0.0,1.0,0.0,1.0,0.7,1.0,-0.1293013095855713,0.000698089599609375,-0.30000000000000004
base,base_a_2_2,затухающие колебания,20,45,early,0.9999999999998004,1.0000000000000002,0,1,1.0,0.9999973433908047,Lag_1,X_n,0.0,1.0,0.0,1.0,0.7,1.0,-0.12900161743164062,0.001953125,-0.30000000000000004
base,base_a_2_2,затухающие колебания,21,46,early,0.9999999999999897,1.0000000000000002,0,1,1.0,0.9999811506118611,Lag_1,X_n,0.0,1.0,0.0,1.0,0.7,1.0,-0.12176513671875,0.003204345703125,-0.30000000000000004
base,base_a_2_2,затухающие колебания,22,47,early,0.9999999999999948,1.0000000000000002,0,1,1.0,0.9999814460201014,Lag_1,X_n,0.0,1.0,0.0,1.0,0.7,1.0,-0.01877760887145996,0.000274658203125,-0.30000000000000004
base,base_a_2_2,затухающие колебания,23,48,early,0.9999999999999998,1.0000000000000002,0,1,1.0,1.0,Lag_1,X_n,0.0,1.0,0.0,1.0,0.6,1.0,-0.08052628280256613,7.744552567601204e-05,-0.4
base,base_a_2_2,затухающие колебания,24,49,early,1.0,1.0000000000000002,0,1,1.0,1.0,Lag_1,X_n,0.0,1.0,0.0,1.0,0.6,1.0,-0.0805262246140046,7.744596223346889e-05,-0.4
base,base_a_2_2,затухающие колебания,25,50,early,1.0,1.0000000000000002,0,1,1.0,0.9999999999999999,Lag_1,X_n,0.0,1.0,0.0,1.0,0.6,1.0,-0.08052628568111686,7.744692265987396e-05,-0.4
base,base_a_2_2,затухающие колебания,26,51,early,1.0,1.0000000000000004,0,1,1.0,0.99999999999999,Lag_1,X_n,0.0,1.0,0.0,1.0,0.6,1.0,-0.08052634936757386,7.74686923250556e-05,-0.4
base,base_a_2_2,затухающие колебания,27,52,early,1.0,1.0000000000000004,0,1,1.0,0.9999999999999466,Lag_1,X_n,0.0,1.0,0.0,1.0,0.6,1.0,-0.08052614377811551,7.746834307909012e-05,-0.4
base,base_a_2_2,затухающие колебания,28,53,early,1.0,1.0000000000000002,0,1,1.0,0.9999999999997918,Lag_1,X_n,0.0,1.0,0.0,1.0,0.6,1.0,-0.08052582456730306,7.727695629000664e-05,-0.4
base,base_a_2_2,затухающие колебания,29,54,early,1.0,1.0000000000000002,0,1,1.0,0.9999999999987056,Lag_1,X_n,0.0,1.0,0.0,1.0,0.6,1.0,-0.08052691468037665,7.703900337219238e-05,-0.4
base,base_a_2_2,затухающие колебания,30,55,early,1.0,1.0000000000000002,1,1,2.0,0.9999999999519561,Lag_1,X_n,0.0,1.0,0.0,1.0,0.6,1.0,-0.08052795566618443,7.773935794830322e-05,-0.4
base,base_a_2_2,затухающие колебания,31,56,early,1.0,1.0000000000000002,1,1,2.0,0.9999999999869827,Lag_1,X_n,0.0,1.0,0.0,1.0,0.6,1.0,-0.08053005486726761,7.781386375427246e-05,-0.4
base,base_a_2_2,затухающие колебания,32,57,early,1.0,1.0000000000000002,1,1,2.0,0.99999999876331,Lag_1,X_n,0.0,1.0,0.0,1.0,0.6,1.0,-0.08050769567489624,6.794929504394531e-05,-0.4
base,base_a_2_2,затухающие колебания,33,58,early,1.0,1.0000000000000002,1,1,3.0,0.99999999591298,Lag_1,X_n,0.0,1.0,0.0,1.0,0.6,1.0,-0.08057993650436401,6.23464584350586e-05,-0.4
base,base_a_2_2,затухающие колебания,34,59,early,1.0,1.0000000000000002,1,1,4.0,0.9999999984810755,Lag_1,X_n,0.0,1.0,0.0,1.0,0.6,1.0,-0.08018672466278076,9.262561798095703e-05,-0.4
base,base_a_2_2,затухающие колебания,35,60,early,1.0,1.0000000000000002,1,1,5.0,0.9999999971585902,Lag_1,X_n,0.0,1.0,0.0,1.0,0.6,1.0,-0.08046221733093262,2.86102294921875e-05,-0.4
base,base_a_2_2,затухающие колебания,36,61,early,1.0,1.0000000000000002,1,1,6.0,0.9999984324804483,Lag_1,Lag_1,0.0,0.0,0.0,0.0,0.5,0.8,-0.08133888244628906,-0.0001068115234375,-0.30000000000000004
base,base_a_2_2,затухающие колебания,37,62,early,1.0,1.0000000000000002,1,1,7.0,0.9999997759416128,Lag_1,Lag_1,0.0,0.0,0.0,0.0,0.5,0.8,-0.08176374435424805,-0.0004730224609375,-0.30000000000000004
base,base_a_2_2,затухающие колебания,38,63,early,1.0,1.0000000000000002,1,1,9.0,0.9999995319286701,Lag_3,X_n,0.0,1.0,0.0,1.0,0.7,1.0,-0.0038290023803710938,6.103515625e-05,-0.30000000000000004
base,base_a_2_2,затухающие колебания,39,64,early,1.0,1.0000000000000002,1,1,10.0,0.9999781425617891,Lag_3,Lag_1,0.0,0.0,0.0,0.0,0.4,0.6,-0.0439453125,-0.002349853515625,-0.19999999999999996
base,base_a_2_2,затухающие колебания,40,65,early,1.0,1.0000000000000002,1,1,11.0,1.0,Lag_3,Lag_5,0.0,0.0,0.0,0.0,0.5,0.5,-0.050765744110981254,-0.003692626953125,0.0
base,base_a_2_2,затухающие колебания,41,66,early,1.0,1.0000000000000002,1,1,11.0,1.0,Lag_1,Lag_1,0.0,0.0,0.0,0.0,0.5,0.0,-0.05076574411098117,-0.0390625,0.5
base,base_a_2_2,затухающие колебания,42,67,early,1.0,1.0000000000000002,1,1,11.0,1.0,Lag_1,Lag_1,0.0,0.0,0.0,0.0,0.1,0.4,-0.0507657441109815,-0.01953125,-0.30000000000000004
base,base_a_2_2,затухающие колебания,43,68,early,1.0,1.0,1,1,11.0,1.0,Lag_1,Lag_9,0.0,0.0,0.0,0.0,0.5,0.3,-0.050765744110981226,-0.0390625,0.2
base,base_a_2_2,затухающие колебания,44,69,early,1.0,1.0,1,1,11.0,1.0,Lag_1,Lag_3,0.0,0.0,0.0,0.0,0.5,0.5,-0.05076574411098142,-0.03515625,0.0
base,base_a_2_2,затухающие колебания,45,70,early,1.0,1.0,1,1,11.0,1.0,Lag_3,Lag_1,0.0,0.0,0.0,0.0,0.0,0.4,-0.05076574411098134,-0.015625,-0.4
base,base_a_2_2,затухающие колебания,46,71,early,1.0,1.0,1,1,11.0,1.0,Lag_1,Lag_3,0.0,0.0,0.0,0.0,0.0,0.0,-0.050765744110981476,-0.0390625,0.0
base,base_a_2_2,затухающие колебания,47,72,early,1.0,1.0,1,1,11.0,1.0,Lag_3,Lag_1,0.0,0.0,0.0,0.0,0.0,0.4,-0.05076574411098134,-0.015625,-0.4
base,base_a_2_2,затухающие колебания,48,73,early,1.0,1.0,1,1,11.0,1.0,Lag_1,Lag_3,0.0,0.0,0.0,0.0,0.0,0.0,-0.050765744110981476,-0.0390625,0.0
base,base_a_2_2,затухающие колебания,49,74,early,1.0,1.0,1,1,11.0,1.0,Lag_3,Lag_1,0.0,0.0,0.0,0.0,0.0,0.4,-0.05076574411098134,-0.015625,-0.4
base,base_a_2_2,затухающие колебания,50,75,early,1.0,1.0,1,1,11.0,1.0,Lag_1,Lag_3,0.0,0.0,0.0,0.0,0.0,0.0,-0.050765744110981476,-0.0390625,0.0
base,base_a_2_2,затухающие колебания,51,76,early,1.0,1.0,1,1,11.0,1.0,Lag_3,Lag_1,0.0,0.0,0.0,0.0,0.0,0.4,-0.05076574411098134,-0.015625,-0.4
